,Ano/Mês,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
38,Atual,CXRI11,Híbrido,92.15,0.0044028240382280575,0.07552447552447553,0.3475609756097561,0.2622222222222222,0.3275862068965517,0.3790849673202614,0.3589108910891089,0.5881378396288933,0.5685214626391097,0.4691263620722615,0.038014537497943965,0.024386655488871242,0.6428571428571429,0.06617647058823531,0.0
39,Atual,DEVA11,Títulos e Val. Mob.,108.5,0.2261292258634987,0.1916083916083916,0.7621951219512195,0.5377777777777778,0.0,0.0,0.6163366336633663,0.44068919814446655,0.44642289348171693,0.3460141464347161,0.16338098340573542,0.025519240057961683,0.7755102040816326,0.06617647058823531,0.0
40,Atual,DRIT11B,Lajes Corporativas,116.0,5.497803169483528e-05,0.03496503496503496,0.13414634146341464,0.11555555555555555,0.0,0.0,0.12376237623762375,0.4317428760768721,0.4073131955484897,0.4800229401644045,0.014999652216075738,0.034527173701830456,0.5510204081632653,0.29068627450980394,0.09375
41,Atual,EDFO11B,Lajes Corporativas,251.33,4.123352377112645e-05,0.1902097902097902,0.32926829268292684,0.24,0.32183908045977017,0.3725490196078431,0.3452970297029703,0.6739562624254474,0.6505564387917329,0.7759510609826036,0.012303615079766388,0.05742869991505616,0.8571428571428571,0.08529411764705883,0.015625
42,Atual,EDGA11,Lajes Corporativas,26.77,0.005021326894794955,0.013986013986013986,0.23170731707317074,0.2222222222222222,0.0,0.0,0.23886138613861385,0.6302186878727634,0.6031796502384738,0.4865226534123494,0.07731082133372104,0.01995902708764761,0.0,0.5669117647058823,0.015625
43,Atual,EURO11,Logística,208.8,0.0006872253961854409,0.1888111888111888,0.39634146341463417,0.2888888888888889,0.4482758620689655,0.3725490196078431,0.3935643564356436,0.6047051027170312,0.5869634340222575,0.6968074937870387,0.02748595128455368,0.07676313992416127,0.4081632653061225,0.0,0.09375
44,Atual,EVBI11,Híbrido,101.99,0.00026572715319170384,0.08951048951048951,0.38414634146341453,0.27555555555555555,0.0,0.0,0.3007425742574257,0.5480450629555997,0.5316375198728139,0.8092142993691455,0.026744932066204728,0.02526107739883077,0.7142857142857143,0.0,0.03125
45,Atual,FAED11,Outros,150.0,0.002185376759869702,0.15524475524475526,0.4207317073170732,0.3022222222222222,0.37931034482758624,0.4117647058823529,0.33663366336633666,0.4052352551358516,0.3955484896661367,0.4243930414834639,0.03490570914228945,0.05745368339819786,0.3673469387755102,0.0,0.046875
46,Atual,FATN11,Híbrido,102.32,0.0002336566347030499,0.09370629370629373,0.39634146341463417,0.2933333333333333,0.3563218390804598,0.3660130718954249,0.32054455445544555,0.7882703777335984,0.7643879173290938,0.8185815331676544,0.014174795854743431,0.025932855501085397,0.6938775510204082,0.0,0.109375
47,Atual,FCFL11,Outros,112.35,0.008429964859874742,0.08671328671328671,0.3414634146341464,0.2444444444444445,0.2931034482758621,0.3333333333333333,0.2673267326732673,0.6467859509609013,0.6251192368839427,0.7314089084305103,0.09081697755469263,0.026235433241357103,0.7857142857142857,0.0,0.015625
