,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física,Qtd Ativos
43,FMOF11,Lajes Corporativas,10400.0,172.0,0.010876232820990258,0.23058476295886365,0.2662444031888173,0.3142553693651168,0.2899164607600894,0.26758454873318666,0.5370911933115537,0.5104900651745701,0.34237442092833137,0.015214239471914293,131.7457,0.31005893517131156,0.9409448818897638,0.024390243902439025
44,MBRF11,Outros,1.03,108.0,0.34803945027168826,0.6677734735288692,0.7986240034945943,0.7172527731885768,0.726320743616896,0.6639598974754464,0.8443153475954613,0.840558060009959,0.7847267819835718,0.03594325987845842,1142.1959,0.42233543102587157,0.0,0.04878048780487805
46,FPAB11,Lajes Corporativas,33400.0,284.0,0.08048412287532791,0.4903154399557277,0.5617560336354701,0.6236724097238612,0.6417225555947759,0.5901739741874023,0.46519654336600275,0.44955029987352874,0.6893450812971205,0.09648491199129,346.39,0.4846668664469084,0.32440944881889766,0.024390243902439025
47,FFCI11,Lajes Corporativas,16800.0,1712.0,0.030453451898772722,0.3687511529238148,0.36584034072294425,0.4408779797026197,0.6871396634898222,0.31896023771179716,0.7503951944356623,0.7315724301433488,0.7193646756549835,0.14881735093209397,176.9509,0.46988312855858555,0.2519685039370079,0.1951219512195122
48,RNGO11,Lajes Corporativas,8512.0,4551.0,0.02349266289333896,0.6036709094263051,0.6617887954570274,0.6990795374085438,0.6926697258501,0.6743484473881189,0.4163944216109881,0.4052280669284225,0.4371981365895436,0.09171724125128015,92.8544,0.4372190590350614,0.14960629921259844,0.04878048780487805
49,SCPF11,Shoppings,1215.0,626.0,0.0028147690540722787,0.4306401033019738,0.47362673364639074,0.7106443238140193,0.7060830685963054,0.5255290675255745,0.7192187445111883,0.7030524965958516,0.7076937051503315,0.006818061245588431,11.1911,0.6060333633003696,0.1377952755905512,0.024390243902439025
50,SHPH11,Shoppings,1.03,70.0,0.15444250605806167,0.30889134845969374,0.3692257289505297,0.45149870191172997,0.45146487822096715,0.354821149091569,0.8661783819861595,0.8453481044732053,0.8726029352607607,0.1655839328673822,695.9068,1.0,0.0452755905511811,0.024390243902439025
53,RBBV11,Títulos e Val. Mob.,6210.0,1447.0,0.013186344672168589,0.4438295517432208,0.4652178661133559,0.6170639603493038,0.5510060007059654,0.5857509016263298,0.6892498331401271,0.6734397102177333,0.661772835212748,0.039914010794746206,100.1012,0.1412446309060034,0.1377952755905512,0.024390243902439025
54,JSRE11,Híbrido,10430.0,8915.0,0.02349266289333896,0.47887843571296806,0.5495249535874195,0.630162851073873,0.7324391104835863,0.5870211173361762,0.7112402079600941,0.6972489192654971,0.6692498345509518,0.28743139650183364,110.4814,0.46448906203176504,0.0,0.04878048780487805
56,KNRI11,Híbrido,15700.0,12433.0,0.03567404365284805,0.4789706696181516,0.538058316042372,0.5721029029974039,0.6257206730203554,0.532923537550752,0.585085361998103,0.5699932578031014,0.6679392185614367,0.9015726985540321,139.8048,0.6432923783837778,0.2466535433070866,0.36585365853658536
