,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física,Qtd Ativos
40,FIGS11,9590.0,7586.0,0.036450564496021624,0.910167714884696,0.8260828801800113,1.0,1.0,0.7010147378593863,0.4420953522211761,0.46939348797616515,0.5028783327530787,0.07918116269556422,88.282,0.5598052851182197,0.09012195121951219,0.04878048780487805
41,ABCP11,1643.0,34199.0,0.0034993941673847717,0.5,0.5255015938496156,0.5713814342278926,0.4795259658926678,0.47684625916082785,0.29909269879311823,0.2930325601191743,0.32035722093126817,0.3148690232288595,12.8588,0.7076958738989337,0.01951219512195122,0.024390243902439025
42,GWIR11,24199.0,189.0,0.06255167074200278,0.6193920335429769,0.6723232702043878,0.7021557413110426,0.542923210328548,0.23793992107594425,0.3999743216639562,0.40352415407533515,0.36860471706515313,0.015991808191041797,208.7755,0.6160562509658476,0.09012195121951219,0.0
43,FIIB11,41000.0,1140.0,0.10498182502154314,0.5989517819706499,0.5447215450965684,0.6545314562252529,0.5965892667887079,0.230087782878312,0.3999743216639562,0.40186422643115555,0.3670258847533378,0.09514177300861869,388.9411,0.5349250502240767,0.0851219512195122,0.024390243902439025
44,FMOF11,11100.0,22.0,0.011373031044000507,0.23501048218029352,0.2707669229326833,0.2792564892212935,0.23364485981308408,0.18051864379479743,0.3999743216639562,0.37230900191530114,0.35709948262879626,0.010547612553369926,131.7225,0.3715808993973111,0.5829268292682926,0.024390243902439025
45,MBRF11,1.07105,109.0,0.34993941673847717,0.7785115303983229,0.6861053815863492,0.5339859216893973,0.6068021967434242,0.5943464604977048,0.2913891979799709,0.30765694828686957,0.3364775036637006,0.031399219154781145,1141.9277,0.4451398547365168,0.0,0.04878048780487805
47,FPAB11,36000.0,36.0,0.08311061147538831,0.5488469601677148,0.508813050815676,0.5897492300923889,0.5422487715579535,0.4263509704437465,0.5904562184370453,0.5882187699510535,0.5887991968196649,0.09199725333026881,345.3447,0.5258847164271364,0.0798780487804878,0.024390243902439025
48,FFCI11,17403.0,1558.0,0.03061969896461675,0.4216981132075472,0.3733358334895931,0.5387153541575012,0.6134502360535697,0.3235080937424499,0.3754515107421039,0.36297935731006603,0.3625565748245067,0.14494172414829223,176.9004,0.48060577963220524,0.09146341463414634,0.1951219512195122
49,RNGO11,9530.0,4231.0,0.023620910629847208,0.6053459119496856,0.5426589161822614,0.6279146502419709,0.5672993544657481,0.4651284529274382,0.3999743216639562,0.4023834858480528,0.4145527856269583,0.08750017048076542,92.8261,0.513753670220986,0.14268292682926828,0.04878048780487805
51,SHPH11,1.055,82.0,0.15528561617769923,0.3577568134171908,0.3868366772923308,0.4384073911130664,0.37739666634550534,0.3589031166948538,0.742266541128135,0.7238561396041711,0.7197532163647993,0.16268311374829134,736.0825,0.8279245866172152,0.017073170731707315,0.024390243902439025
