,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
62,HBTT11,Títulos e Val. Mob.,1033.0,9.47373407228459e-05,0.35913806863527536,0.4574468085106383,0.5365853658536586,0.7830188679245282,0.5323741007194245,0.722707423580786,0.23860523038605227,0.25338253382533826,0.002553191489361678,0.04392320623913826,0.2929890216379563,0.6953125,0.05231930960086299,0.0
63,HCRI11,Hospital,440.16,0.00035526502771067214,0.10375099760574621,0.3191489361702128,0.3719512195121951,0.5849056603773585,0.4460431654676259,0.5502183406113537,0.6565379825653799,0.6632226322263223,0.7800851063829787,0.014764155677690061,0.0921238859066393,1.0,0.0,0.015625
64,HCTR11,Outros,127.04,0.35331107005826345,0.08459696727853153,0.8723404255319149,0.6890243902439024,1.0,0.7410071942446044,1.0,0.6948941469489415,0.7271832718327184,0.8294468085106382,0.08701962810608203,0.03627258469659684,0.671875,0.05231930960086299,0.0
65,HFOF11,Títulos e Val. Mob.,104.85,0.34814788498886834,0.019952114924181964,0.23404255319148937,0.36585365853658536,0.6415094339622641,0.49640287769784175,0.5720524017467249,0.5803237858032378,0.5837638376383764,0.6131063829787233,0.5096053084456138,0.030917286138702236,0.640625,0.05231930960086299,0.0
66,HGBS11,Shoppings,211.49,0.1119676945668135,0.009976057462090982,0.06382978723404255,0.07926829268292683,0.1792452830188679,0.2517985611510791,0.23362445414847163,0.7623910336239104,0.7562115621156211,0.24374468085106377,0.6143919362531249,0.07158567840157089,0.546875,0.08425026968716288,0.25
67,HGCR11,Títulos e Val. Mob.,102.5,0.22741698640519162,0.019154030327214685,0.2446808510638298,0.2804878048780488,0.5,0.38129496402877705,0.45742358078602624,0.7457036114570361,0.7483394833948339,0.5453617021276596,0.34937917791761136,0.0324441837632448,0.5859375,0.05231930960086299,0.0
68,HGFF11,Títulos e Val. Mob.,98.97,0.028551466060347686,0.021947326416600164,0.29255319148936176,0.3353658536585366,0.5377358490566037,0.3956834532374101,0.490174672489083,0.7195516811955168,0.7247232472324724,0.5497872340425531,0.04818374230327905,0.031287056753414005,0.5859375,0.05231930960086299,0.0
69,HGLG11,Logística,168.63,0.700499739472313,0.031125299281723865,0.22872340425531915,0.25609756097560976,0.4150943396226415,0.3165467625899281,0.3810043668122271,0.6784557907845579,0.6806888068880689,0.6442553191489361,0.6970163580481349,0.0436839353793974,0.7578125,0.09924487594390506,0.21875
70,HGPO11,Lajes Corporativas,224.98,0.014684287812041116,0.03750997605746209,0.22872340425531915,0.2682926829268293,0.42452830188679247,0.30935251798561153,0.3810043668122271,0.7800747198007473,0.781549815498155,0.718127659574468,0.08989274280402815,0.06400219312226657,0.6796875,0.0,0.03125
71,HGRE11,Lajes Corporativas,150.0,0.3124911183743072,0.025937749401436554,0.23404255319148937,0.2621951219512195,0.3962264150943396,0.30935251798561153,0.35917030567685587,0.7728518057285181,0.7746617466174661,0.2737021276595744,0.4785712356443189,0.051337549568388444,0.53125,0.2948220064724919,0.34375
72,HGRU11,Híbrido,132.83,0.5201553692387855,0.02713487629688747,0.2765957446808511,0.3231707317073171,0.5283018867924528,0.40287769784172667,0.48362445414847155,0.7043586550435865,0.7087330873308733,0.7310638297872339,0.3645008829798657,0.03343555153199791,0.78125,0.0,0.234375
73,HLOG11,Logística,118.0,0.01161716640613898,0.025139664804469275,0.2819148936170213,0.31097560975609756,0.49056603773584906,0.0,0.4028384279475982,0.5539227895392279,0.5594095940959409,0.8954893617021277,0.05045018880715591,0.03496563683425351,0.640625,0.0,0.03125
74,HMOC11,Shoppings,233.0,0.02331722798541045,0.009976057462090982,0.05851063829787234,0.030487804878048783,0.08490566037735849,0.20863309352517986,0.1703056768558952,0.9305105853051059,0.9222632226322263,0.4789787234042553,0.022930837774087408,0.07297869356216609,0.6015625,0.04314994606256742,0.015625
75,HPDP11,Shoppings,91.7,0.0006631613850599213,0.0023942537909018356,0.037234042553191495,0.012195121951219513,0.0,0.0,0.0927947598253275,0.7972602739726027,0.7891758917589176,0.8052765957446808,0.07425530698293244,0.029568898466089486,0.5703125,0.04854368932038835,0.015625
76,HSML11,Shoppings,92.66,0.2863317701672114,0.010375099760574621,0.14893617021276598,0.1402439024390244,0.22641509433962262,0.28057553956834536,0.267467248908297,0.8074719800747199,0.804920049200492,0.28136170212765954,0.42516741993829404,0.030894972394711007,0.546875,0.0517799352750809,0.078125
78,HUSC11,Outros,145.08,0.10828478044621287,0.02913008778930567,0.25,0.2865853658536585,0.2641509433962264,0.1510791366906475,0.1539301310043668,0.8054794520547944,0.8078720787207871,0.9370212765957446,0.018492429122504535,0.030764277608476675,0.9609375,0.05231930960086299,0.0
79,IBFF11,Títulos e Val. Mob.,73.05,0.060051631850693954,0.013966480446927373,0.2446808510638298,0.29878048780487804,0.4339622641509434,0.0,0.482532751091703,0.6983810709838107,0.70159901599016,0.2597446808510638,0.015064007353804343,0.027516034018896556,0.4609375,0.05231930960086299,0.0
80,IRDM11,Títulos e Val. Mob.,120.99,0.7111340059684524,0.04189944134078213,0.46808510638297873,0.48780487804878053,0.6981132075471698,0.5395683453237411,0.6670305676855895,0.7315068493150685,0.7448954489544896,0.7957446808510639,0.304524304856051,0.03037856860519974,0.78125,0.05231930960086299,0.0
81,JRDM11,Shoppings,76.25,0.005305291080479371,0.006384676775738229,0.11702127659574468,0.042682926829268296,0.09433962264150944,0.2302158273381295,0.0665938864628821,0.613200498132005,0.6108241082410824,0.22144680851063828,0.060662464755187974,0.027882616955895292,0.4765625,0.0238403451995685,0.015625
82,JSRE11,Híbrido,98.3,0.2257827672777225,0.020750199521149242,0.2819148936170213,0.29878048780487804,0.42452830188679247,0.32374100719424465,0.38318777292576417,0.6455790784557908,0.650430504305043,0.4542978723404255,0.6310225541656039,0.03493376005712319,0.5,0.032362459546925564,0.0625
83,KFOF11,Títulos e Val. Mob.,112.01,0.0122803277911989,0.01835594573024741,0.21808510638297873,0.32926829268292684,0.4716981132075471,0.3309352517985612,0.42139737991266374,0.6371108343711083,0.639360393603936,0.5217021276595745,0.125231157485513,0.03400933352034376,0.6171875,0.05231930960086299,0.0
85,KNHY11,Títulos e Val. Mob.,108.49,0.10454265548766047,0.025937749401436554,0.3191489361702128,0.2621951219512195,0.42452830188679247,0.38129496402877705,0.4716157205240175,0.6485678704856787,0.6551045510455105,0.6097021276595744,0.3075569428717854,0.033081719305851305,0.6171875,0.05231930960086299,0.0
86,KNIP11,Títulos e Val. Mob.,110.3,0.8125266448770783,0.029928172386272947,0.3563829787234043,0.3597560975609756,0.5283018867924528,0.4172661870503597,0.5229257641921398,0.6963885429638855,0.7045510455104551,0.6709787234042552,0.9814735876047697,0.033135909826972856,0.625,0.05231930960086299,0.0
88,KNRI11,Híbrido,166.0,0.25274738288096255,0.025937749401436554,0.21276595744680854,0.24390243902439027,0.37735849056603776,0.2949640287769784,0.3537117903930131,0.7711083437110835,0.771709717097171,0.5603404255319149,1.0,0.0490487969704311,0.6484375,0.06375404530744337,0.296875
