,Códigodo fundo,Setor,Preço Atual,Volume (21D),Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
66,JSRE11,Híbrido,10699.0,11794.0,0.022112307244690134,0.2451675829047704,0.45200892857142855,0.43395615950821,0.46715263578984795,0.06399055763200223,0.23773520711457222,0.2490881322432845,0.5428894240040348,0.35969328946608475,0.03987548176697302,0.08548142854712197,0.033444816053511704,0.04878048780487805
68,KNHY11,Títulos e Val. Mob.,10940.0,1349.0,0.019008825526137134,0.19750842347934033,0.0,0.0,0.0,0.05155116351728208,0.23773520711457222,0.23943041954900726,0.5402317037593761,0.15849426143950743,0.03711088052179069,0.10140710870637878,0.0955685618729097,0.0
69,KNIP11,Títulos e Val. Mob.,10885.0,14534.0,0.01784501988167976,0.18270083348111368,0.4473852040816327,0.508290867912319,0.5704507067294871,0.04768627269466206,0.23773520711457222,0.2364297906746923,0.5394059562601055,0.7536925524833611,0.037889119478209304,0.09691525019992173,0.0955685618729097,0.0
71,KNRI11,Híbrido,15300.0,15812.0,0.028707205896615264,0.21843411952473846,0.39485012755102045,0.4329046347973793,0.4723975464485732,0.05701292539834991,0.23773520711457222,0.24367082921570388,0.5413986283691239,0.9224008067454,0.05233842276904833,0.10133905024415973,0.13712374581939799,0.3902439024390244
72,LVBI11,Logística,10500.0,1128.0,0.02028901173504025,0.22082816102145772,0.0,0.0,0.0,0.08518959950936715,0.23773520711457222,0.24415596083011407,0.6719755143615785,0.11002749711558533,0.03516898903053661,0.10344886257295016,0.0955685618729097,0.0
73,MALL11,Shoppings,10730.0,7702.0,0.028707205896615264,0.30648164568185854,0.508529974489796,0.5105556903664159,0.5446706373899902,0.0799939828047073,0.23773520711457222,0.261512891923457,0.5463086120025119,0.07616170206623736,0.0418284909576045,0.07842036309189594,0.0,0.024390243902439025
75,MBRF11,Outros,1.124,94.0,0.31034817185530017,0.31552580244724243,0.5825892857142857,0.6107740839602038,0.6759711974397724,0.08235457480415187,0.23773520711457222,0.2633456113556733,0.5468129607745215,0.036228728893828534,0.43566928550252004,0.0828611777516887,0.0,0.04878048780487805
76,MFII11,Híbrido,9999.0,4907.0,0.04500048491901852,0.5142755807767335,0.935905612244898,0.6577691498827146,0.7135745399591075,0.13422974114488712,0.23773520711457222,0.30362051927050576,0.5578962722692233,0.07141726803344677,0.03668470204565668,0.0877273578003505,0.0955685618729097,0.21951219512195122
77,MGFF11,Títulos e Val. Mob.,9390.0,0.0,0.027155465037338764,0.3305107288526335,0.598373724489796,0.5623230607457738,0.0,0.08626575174440806,0.23773520711457222,0.2663821759051298,0.5476485974654002,0.03482888647658233,0.034753928253780014,0.08600888162931959,0.0955685618729097,0.0
78,MXRF11,Híbrido,1073.0,75606.0,0.0023276112889147513,0.2364337648519241,0.45408163265306123,0.4994742376445847,0.6085874299937772,0.06171096633842095,0.23773520711457222,0.2473183002425658,0.5424023813173392,0.11334238344291465,0.0025422472576341537,0.10969322648154765,0.0955685618729097,0.0
79,NSLU11,Hospital,22540.0,0.0,0.06635631849481137,0.3349441390317432,0.5747767857142857,0.5751840168243953,0.6007645124011023,0.9384047489556695,0.40338906162875315,0.42594555745216056,0.3513135318753368,0.07283603286304267,0.06604284020160095,0.1324587820938186,0.0,0.024390243902439025
80,NVHO11,Hospital,2898.0,183.0,0.002234506837358161,0.08521014364248981,0.16031568877551022,0.14794143816225835,0.3660769846208552,0.02224047952417871,0.23773520711457222,0.21667415326565448,0.53396937317359,0.11066507279062872,0.0016231841091016899,0.6082384768516156,0.0955685618729097,0.024390243902439025
82,ONEF11,Lajes Corporativas,14287.0,458.0,0.027931335466977014,0.22344387302713248,0.4106345663265306,0.42683814608104825,0.47168637212196635,0.05832050822157165,0.23773520711457222,0.24468601203845114,0.5416779980320509,0.02859365872477447,0.04028313074414467,0.1386010583090875,0.0,0.024390243902439025
83,OUCY11,Títulos e Val. Mob.,9050.0,716.0,0.022864901561439242,0.28249689661287464,0.5428093112244897,0.4732670063900348,0.0,0.5026556659993752,0.9532184744497265,0.9411193962806577,0.44502845614885206,0.007904031804307765,0.035176400830121544,0.07816514385857451,0.0955685618729097,0.0
84,OUJP11,Títulos e Val. Mob.,10688.0,1507.0,0.09355057705363205,1.0,0.9221938775510204,0.7231254549866538,0.670192906036092,0.2610074173503512,0.23773520711457222,0.40204833348306523,0.584982768083623,0.017173296177419563,0.037210939816187366,0.09679614789103841,0.0955685618729097,0.0
86,PLRI11,Títulos e Val. Mob.,6630.0,256.0,0.010575113955969353,0.1688685937222912,0.30588329081632654,0.5141146970799968,0.5919637301093431,0.044075955519040956,0.23773520711457222,0.23362680801365554,0.538634599314679,0.018168234723398735,0.0287429587903943,0.060963367532710595,0.0955685618729097,0.0
90,RBBV11,Títulos e Val. Mob.,7599.0,692.0,0.004108233924934535,0.06215641071111899,0.4460299744897959,0.5988028795599774,0.5785403146946395,0.016223284231476873,0.23773520711457222,0.2120025154972599,0.5326837782645457,0.03854096721941056,0.03599540468425733,0.04997192588433464,0.0955685618729097,0.024390243902439025
93,RBGS11,Shoppings,4329.0,1035.0,0.007130249248375521,0.18775492108529881,0.2624362244897959,0.2560058238291677,0.31291670370699615,0.04900542704729284,0.23773520711457222,0.2374539574162249,0.5396877982209344,0.02792528610675394,0.03333456863326415,0.0,0.2073578595317726,0.024390243902439025
94,RBRD11,Híbrido,8715.0,974.0,0.019947628745999417,0.2554974286220962,0.4605389030612245,0.8964652592412845,0.7599786647702018,0.06668672398430901,0.23773520711457222,0.2511813853202767,0.5434654694152026,0.04585757646187444,0.02754224725763415,0.11287495959028805,0.0,0.0975609756097561
95,RBRF11,Títulos e Val. Mob.,10347.0,5307.0,0.020048491901852393,0.22437488916474554,0.48365752551020413,0.5031141308743833,0.6402346875277802,1.0,0.44680609766470414,0.44463210852573887,0.9081467160466968,0.05265586422805,0.035257930625555885,0.10035220254198357,0.0955685618729097,0.0
96,RBRR11,Títulos e Val. Mob.,10890.0,14762.0,0.02729512171467365,0.28622096116332685,0.5876913265306123,0.5956483054274853,0.0,0.6038718337402655,0.7381274158641352,0.7361512891923456,0.8950608432513685,0.09604502345085895,0.03463163356062852,0.11311316420805471,0.0955685618729097,0.0
98,RDES11,Lajes Corporativas,7375.0,312.0,0.012576859664436038,0.19427203404859017,0.32166772959183676,0.26514600016177303,0.30873855453818116,0.05070644187042201,0.23773520711457222,0.23877459347767496,0.5400512260125295,0.011795304286476186,0.029662021938926766,0.07207391148996989,0.8449832775919733,0.0975609756097561
99,RDPD11,Títulos e Val. Mob.,8650.0,111.0,0.01939676074095626,0.25190636637701724,0.3848852040816327,0.3614009544608914,0.0,0.06574943010217661,0.23773520711457222,0.2504536878986614,0.54326521328514,0.029966526598943156,0.03500963533946042,0.07190376533442226,0.0955685618729097,0.0
100,RNDP11,Títulos e Val. Mob.,95200.0,33.0,0.18194161575016973,0.21590707572264586,0.40011160714285715,0.4267572595648305,0.4789759089696861,0.056353348222034506,0.23773520711457222,0.24315874584493755,0.5412577073887095,0.03423587741370969,0.3956270382448858,0.07190376533442226,0.0955685618729097,0.0
101,RNGO11,Lajes Corporativas,8269.0,3390.0,0.01862089031131801,0.2583348111367264,0.455436862244898,0.4806276793658497,0.5338252289092364,0.0674273018664877,0.23773520711457222,0.2517563561225406,0.5436236964809311,0.09094510548610764,0.03364957011562407,0.07089990301669134,0.16555183946488294,0.07317073170731707
102,SAAG11,Outros,12100.0,6593.0,0.033750363689263894,0.30758999822663596,0.5476721938775511,0.5876405403219284,0.6223664325717841,0.08028327103993335,0.23773520711457222,0.2617374898930913,0.546370419450062,0.19864204095965296,0.03237103468722206,0.14897997379749203,0.0955685618729097,0.6829268292682927
103,SCPF11,Shoppings,1120.0,1784.0,0.004162544855009213,0.4248980315658805,0.48142538265306123,0.4248968696918224,0.4449284380833851,0.11090153785625848,0.23773520711457222,0.28550893899919144,0.5529121196987752,0.006261832112450425,0.0032241328194485617,0.08646827624929815,0.11622073578595318,0.024390243902439025
104,SDIL11,Logística,10750.0,5298.0,0.024827853748424014,0.2511083525447775,0.4884406887755102,0.5243872846396506,0.583607431771713,0.06554114257281385,0.23773520711457222,0.2502919773605246,0.5432207119229039,0.11903942359195228,0.0333419804328491,0.11775815425450462,0.0,0.024390243902439025
105,SHPH11,Shoppings,95607.0,85.0,0.21336436815051887,0.2550540876041852,0.35459183673469385,0.3325244681711559,0.33869677304649304,0.06657100869021859,0.23773520711457222,0.2510915461324229,0.5434407464361826,0.16681263682371283,0.2616254076489772,0.15008592380855154,0.030100334448160536,0.024390243902439025
