;Códigodo fundo;Setor;Preço Atual;Volume (21D);Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
57;HGJH11;Lajes Corporativas;18600.0;2343.0;R$ 0,8000;0,4651%;1,4185%;2,9858%;5,8217%;0,4728%;0,4976%;0,4851%;5,8217%;0,9390%;1,4085%;20,1047%;R$ 192.925.482,25;R$ 116,92;15908.0;0,6842%;0,0067%;0,6909%;7,2473%;1,70%;;2
58;HGLG11;Logística;14360.0;10614.0;R$ 0,7500;0,5357%;1,6563%;3,4426%;7,1717%;0,5521%;0,5738%;0,5976%;7,1717%;2,3317%;2,8799%;14,4399%;R$ 917.999.603,86;R$ 116,48;12329.0;0,6439%;0,3101%;0,9560%;11,4980%;4,70%;7,30%;12
59;HGRE11;Lajes Corporativas;14890.0;10454.0;R$ 0,7400;0,4955%;1,5585%;3,3480%;6,7111%;0,5195%;0,5580%;0,5593%;6,7111%;3,7153%;4,2292%;6,4614%;R$ 1.093.382.333,20;R$ 148,09;10055.0;0,4997%;0,0510%;0,5510%;4,9879%;19,63%;18,96%;20
60;HGRU11;Híbrido;10835.0;1610.0;R$ 0,7800;0,7436%;2,0934%;0,0000%;0,0000%;0,6978%;0,0000%;0,0000%;4,0577%;3,3498%;4,1182%;9,2292%;R$ 148.296.564,16;R$ 98,86;10959.0;0,6878%;0,0514%;0,7396%;4,8340%;0,00%;0,00%;1
61;HMOC11;Shoppings;21000.0;720.0;R$ 1,1000;0,5641%;1,2642%;3,2161%;6,7453%;0,4214%;0,5360%;0,5621%;6,7453%;0,5206%;1,0877%;-13,8159%;R$ 65.135.688,11;R$ 170,50;12316.0;0,5865%;-0,7270%;-0,1447%;-13,8905%;4,10%;;2
62;HTMX11;Hotel;16049.0;0.0;R$ 1,3107;0,8856%;2,5149%;4,4127%;6,8348%;0,8383%;0,7354%;0,5696%;6,8348%;3,4965%;4,4130%;20,9419%;R$ 149.656.455,20;R$ 133,75;12000.0;0,7390%;-0,3674%;0,3689%;5,2970%;25,00%;;24
63;HUSC11;Outros;10200.0;16.0;R$ 0,9000;0,8372%;0,8372%;0,8372%;0,8372%;0,2791%;0,1395%;0,0698%;0,8372%;7,5000%;8,4000%;8,4000%;R$ 72.102.676,70;R$ 99,89;10211.0;0,9010%;-0,9374%;-0,0448%;-0,0448%;;;0
64;IRDM11;Títulos e Val. Mob.;11000.0;5253.0;R$ 0,8609;0,7827%;2,6404%;5,1233%;0,0000%;0,8801%;0,8539%;0,0000%;6,9621%;8,0656%;8,9114%;19,0423%;R$ 104.575.646,96;R$ 96,83;11360.0;1,0051%;0,4544%;1,4641%;8,1839%;;;0
65;JRDM11;Shoppings;7150.0;0.0;R$ 0,5398;0,7657%;1,7955%;3,6569%;6,7152%;0,5985%;0,6095%;0,5596%;5,7880%;-1,3986%;-0,6436%;-8,3570%;R$ 188.963.244,96;R$ 85,00;8412.0;0,6350%;-0,0796%;0,5550%;5,7474%;1,10%;;1
66;JSRE11;Híbrido;10394.0;10445.0;R$ 0,5600;0,5545%;1,6822%;3,1974%;6,3139%;0,5607%;0,5329%;0,5262%;6,3139%;-0,0989%;0,4550%;0,6219%;R$ 892.142.008,03;R$ 110,39;9416.0;0,5073%;1,1537%;1,6669%;6,8460%;2,00%;;2
