;Códigodo fundo;Setor;Preço Atual;Volume (21D);Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
87;PORD11;Títulos e Val. Mob.;9702.0;370.0;R$ 5,0000;4,9087%;4,9087%;4,9087%;8,0854%;1,6362%;0,8181%;0,6738%;4,9087%;1,4542%;6,4343%;6,8600%;R$ 102.787.108,55;R$ 102,79;9439.0;;;;;;;0
88;PQDP11;Shoppings;3.06998;44.0;R$ 12,8132;0,4166%;1,4321%;2,9412%;5,4881%;0,4774%;0,4902%;0,4573%;5,4881%;2,5197%;2,9468%;-1,3757%;R$ 701.218.565,71;R$ 2.940,40;10441.0;0,4358%;6,1991%;6,6618%;17,1661%;4,90%;;1
89;PRSV11;Lajes Corporativas;34100.0;76.0;R$ 1,6800;0,4541%;1,4805%;2,6835%;3,7935%;0,4935%;0,4473%;0,3161%;3,7935%;11,2949%;11,8003%;-5,3107%;R$ 79.306.358,88;R$ 406,70;8385.0;0,4131%;0,1104%;0,5239%;3,6620%;8,81%;;2
90;RBBV11;Títulos e Val. Mob.;7599.0;692.0;R$ 0,1059;0,1402%;1,6784%;4,4419%;7,8102%;0,5595%;0,7403%;0,6508%;0,1402%;0,0000%;0,1402%;0,1402%;R$ 125.321.923,36;R$ 99,92;7605.0;;;;;;;1
91;RBCB11;Outros;20400.0;115.0;R$ 3,7200;1,8058%;5,3619%;10,2185%;15,6279%;1,7873%;1,7031%;1,3023%;1,8058%;0,0000%;1,8058%;1,8058%;R$ 3.892.506,40;R$ 73,31;27829.0;5,5248%;-17,3695%;-12,8043%;-57,0783%;;;0
92;RBDS11;Residencial;23408.0;78.0;R$ 9,4495;3,5793%;6,1565%;12,7125%;23,2482%;2,0522%;2,1188%;1,9373%;3,5793%;0,0000%;3,5793%;3,5793%;R$ 29.526.702,28;R$ 233,37;10030.0;0,0503%;-12,6002%;-12,5563%;-48,2527%;;;0
93;RBGS11;Shoppings;4329.0;1035.0;R$ 0,1838;0,4235%;0,9877%;1,8987%;4,2242%;0,3292%;0,3165%;0,3520%;0,4235%;0,0000%;0,4235%;0,4235%;R$ 99.974.706,71;R$ 92,74;4668.0;0,1531%;-6,6985%;-6,5556%;-4,5649%;12,40%;;1
94;RBRD11;Híbrido;8715.0;974.0;R$ 0,5142;0,5763%;1,7330%;6,6501%;10,2582%;0,5777%;1,1083%;0,8549%;0,5763%;0,0000%;0,5763%;0,5763%;R$ 142.791.897,98;R$ 77,11;11302.0;0,6718%;3,6368%;4,3330%;16,7146%;0,00%;;4
95;RBRF11;Títulos e Val. Mob.;10347.0;5307.0;R$ 0,5168;0,5061%;1,8201%;3,7321%;8,6419%;0,6067%;0,6220%;0,7202%;8,6419%;2,2122%;2,7296%;15,3270%;R$ 159.024.268,85;R$ 97,93;10566.0;0,5278%;2,1243%;2,6632%;4,9949%;;;0
96;RBRR11;Títulos e Val. Mob.;10890.0;14762.0;R$ 0,7036;0,6456%;2,2116%;4,4181%;0,0000%;0,7372%;0,7364%;0,0000%;5,2186%;5,2947%;5,9745%;14,7977%;R$ 262.625.197,27;R$ 96,24;11316.0;0,7310%;0,1432%;0,8753%;5,6655%;;;0
97;RBVO11;Outros;4750.0;1313.0;R$ 0,2000;0,4086%;3,2245%;5,8205%;8,9040%;1,0748%;0,9701%;0,7420%;0,4086%;0,0000%;0,4086%;0,4086%;R$ 24.938.331,77;R$ 48,35;9825.0;1,6547%;-17,8928%;-16,5342%;-10,4152%;;;0
98;RDES11;Lajes Corporativas;7375.0;312.0;R$ 0,3242;0,4382%;1,2105%;1,9666%;4,1671%;0,4035%;0,3278%;0,3473%;0,4382%;0,0000%;0,4382%;0,4382%;R$ 61.460.913,82;R$ 82,83;8904.0;0,3165%;-8,3406%;-8,0504%;-5,2629%;50,53%;;4
99;RDPD11;Títulos e Val. Mob.;8650.0;111.0;R$ 0,5000;0,5682%;1,4484%;2,6806%;0,0000%;0,4828%;0,4468%;0,0000%;0,5682%;0,0000%;0,5682%;0,5682%;R$ 104.848.606,41;R$ 97,26;8894.0;0,4421%;0,0405%;0,4828%;3,1142%;;;0
100;RNDP11;Títulos e Val. Mob.;95200.0;33.0;R$ 4,6900;0,4870%;1,5057%;3,1654%;6,4656%;0,5019%;0,5276%;0,5388%;0,4870%;0,0000%;0,4870%;0,4870%;R$ 115.042.597,63;R$ 1.070,35;8894.0;0,4382%;-0,1415%;0,2961%;8,6844%;;;0
101;RNGO11;Lajes Corporativas;8269.0;3390.0;R$ 0,4800;0,5827%;1,7139%;3,5650%;7,2063%;0,5713%;0,5942%;0,6005%;0,5827%;0,0000%;0,5827%;0,5827%;R$ 250.448.048,75;R$ 93,59;8835.0;0,5129%;0,0241%;0,5371%;7,6659%;9,90%;;3
102;SAAG11;Outros;12100.0;6593.0;R$ 0,8700;0,6938%;2,0609%;4,3589%;8,4017%;0,6870%;0,7265%;0,7001%;0,6938%;0,0000%;0,6938%;0,6938%;R$ 507.597.592,62;R$ 90,14;13424.0;0,9652%;0,1266%;1,0931%;15,2997%;;;28
103;SCPF11;Shoppings;1120.0;1784.0;R$ 0,1073;0,9584%;1,8118%;3,1520%;6,0062%;0,6039%;0,5253%;0,5005%;0,9584%;0,0000%;0,9584%;0,9584%;R$ 48.248.561,59;R$ 11,49;9750.0;0,4348%;1,6617%;2,1037%;10,3108%;6,95%;;1
104;SDIL11;Logística;10750.0;5298.0;R$ 0,6400;0,5664%;1,8382%;3,8900%;7,8784%;0,6127%;0,6483%;0,6565%;0,5664%;0,0000%;0,5664%;0,5664%;R$ 317.529.261,92;R$ 92,76;11589.0;0,6899%;0,3251%;1,0173%;7,9932%;0,00%;;1
105;SHPH11;Shoppings;95607.0;85.0;R$ 5,5000;0,5753%;1,3343%;2,4666%;4,5720%;0,4448%;0,4111%;0,3810%;0,5753%;0,0000%;0,5753%;0,5753%;R$ 431.598.060,05;R$ 708,76;13489.0;0,5009%;-0,3488%;0,1503%;2,5453%;1,80%;;1
106;SPTW11;Lajes Corporativas;8000.0;2656.0;R$ 0,6100;0,7578%;2,3822%;4,6293%;8,9583%;0,7941%;0,7716%;0,7465%;0,7578%;0,0000%;0,7578%;0,7578%;R$ 134.412.659,49;R$ 74,76;10701.0;0,8160%;0,2565%;1,0746%;10,4541%;0,00%;;2
107;TBOF11;Lajes Corporativas;8500.0;6209.0;R$ 0,2905;0,3462%;0,8870%;1,7456%;3,0358%;0,2957%;0,2909%;0,2530%;3,0358%;7,5641%;7,9365%;4,8274%;R$ 877.287.397,79;R$ 87,29;9737.0;0,3328%;9,3764%;9,7404%;13,0031%;28,20%;;1
108;TGAR11;Outros;12360.0;8123.0;R$ 0,7500;0,6050%;2,3418%;3,9006%;7,9864%;0,7806%;0,6501%;0,6655%;0,6050%;0,0000%;0,6050%;0,6050%;R$ 118.737.048,37;R$ 125,81;9825.0;0,8982%;1,6427%;2,5556%;19,4003%;;;0
109;THRA11;Lajes Corporativas;12499.0;3843.0;R$ 0,5909;0,4727%;1,4343%;3,0559%;5,4930%;0,4781%;0,5093%;0,4577%;0,4727%;0,0000%;0,4727%;0,4727%;R$ 150.843.636,19;R$ 102,42;12203.0;0,5666%;12,2942%;12,9304%;27,7512%;0,00%;;1
110;TRNT11;Lajes Corporativas;19300.0;434.0;R$ 0,6407;0,3463%;1,0372%;1,8208%;3,1112%;0,3457%;0,3035%;0,2593%;3,1112%;3,9326%;4,2925%;7,2064%;R$ 783.616.559,78;R$ 199,11;9693.0;0,3218%;5,7331%;6,0733%;10,3831%;20,10%;;1
111;TRXL11;Logística;9429.0;2633.0;R$ 0,3655;0,4400%;1,4138%;2,8587%;5,6275%;0,4713%;0,4765%;0,4690%;0,4400%;0,0000%;0,4400%;0,4400%;R$ 189.069.283,20;R$ 101,24;9313.0;0,3612%;0,0287%;0,3900%;0,1590%;24,60%;38,20%;6
112;UBSR11;Títulos e Val. Mob.;10520.0;5300.0;R$ 0,8370;0,7956%;2,3649%;7,1219%;11,8340%;0,7883%;1,1870%;0,9862%;0,7956%;0,0000%;0,7956%;0,7956%;R$ 149.278.994,27;R$ 97,73;10764.0;0,5881%;0,4898%;1,0808%;15,0080%;;;0
113;VGIR11;Títulos e Val. Mob.;10129.0;609.0;R$ 0,8604;0,8519%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;1,5719%;1,0000%;1,8604%;2,5938%;R$ 39.131.017,80;R$ 97,43;10396.0;0,8831%;-0,4568%;0,4223%;1,0536%;;;0
114;VISC11;Shoppings;10776.0;24704.0;R$ 0,6042;0,5647%;1,6989%;3,5498%;6,9884%;0,5663%;0,5916%;0,5824%;0,5647%;0,0000%;0,5647%;0,5647%;R$ 824.888.787,71;R$ 101,08;10661.0;0,5977%;3,5067%;4,1254%;10,3608%;4,80%;;9
115;VLOL11;Lajes Corporativas;9605.0;2358.0;R$ 0,3765;0,3883%;1,2250%;2,3739%;4,7623%;0,4083%;0,3957%;0,3969%;0,3883%;0,0000%;0,3883%;0,3883%;R$ 152.466.246,11;R$ 85,42;11244.0;0,3506%;14,2488%;14,6493%;21,5465%;0,00%;;1
116;VOTS11;Títulos e Val. Mob.;9637.0;142.0;R$ 0,5100;0,5574%;1,1499%;2,1597%;0,0000%;0,3833%;0,3599%;0,0000%;0,5574%;0,0000%;0,5574%;0,5574%;R$ 80.744.605,17;R$ 97,53;9881.0;0,3589%;0,0000%;0,3589%;0,3589%;;;0
117;VRTA11;Títulos e Val. Mob.;12360.0;6448.0;R$ 1,0200;0,8207%;2,5733%;5,3983%;9,5831%;0,8578%;0,8997%;0,7986%;0,8207%;0,0000%;0,8207%;0,8207%;R$ 227.917.848,27;R$ 101,67;12157.0;0,9934%;-0,4003%;0,5892%;7,6209%;;;0
118;VSHO11;Shoppings;10250.0;406.0;R$ 0,7677;0,6979%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,6979%;0,0000%;0,6979%;0,6979%;R$ 213.295.384,01;R$ 101,63;10086.0;;;;;6,16%;;3
119;VTLT11;Logística;10100.0;480.0;R$ 1,4067;1,4002%;2,7164%;4,6982%;0,0000%;0,9055%;0,7830%;0,0000%;5,3621%;-0,1491%;1,2490%;5,9697%;R$ 205.210.319,08;R$ 97,03;10410.0;1,4498%;-3,6949%;-2,2987%;1,7136%;;;0
120;WPLZ11;Shoppings;7350.0;232.0;R$ 0,3749;0,4946%;1,0720%;2,7927%;5,2718%;0,3573%;0,4654%;0,4393%;5,2718%;5,2778%;5,7985%;5,1692%;R$ 78.909.249,31;R$ 79,76;9215.0;0,4700%;-4,3005%;-3,8507%;1,1297%;8,60%;;1
121;XPCM11;Lajes Corporativas;9724.0;4560.0;R$ 0,8500;0,8646%;2,6727%;5,2362%;10,1379%;0,8909%;0,8727%;0,8448%;0,8646%;0,0000%;0,8646%;0,8646%;R$ 199.898.665,91;R$ 82,79;11746.0;1,0267%;-0,0209%;1,0056%;15,8314%;0,00%;0,00%;1
122;XPIN11;Outros;11920.0;1714.0;R$ 0,7700;0,6892%;1,7938%;3,1838%;3,1838%;0,5979%;0,5306%;0,2653%;3,1838%;2,4954%;3,2018%;15,3237%;R$ 191.114.488,69;R$ 115,72;10301.0;0,6654%;0,1331%;0,7993%;2,0757%;0,00%;;2
123;XPLG11;Logística;10111.0;12556.0;R$ 0,6700;0,6569%;1,9802%;3,9826%;0,0000%;0,6601%;0,6638%;0,0000%;0,6569%;0,0000%;0,6569%;0,6569%;R$ 351.766.570,28;R$ 96,08;10523.0;0,6744%;0,0563%;0,7311%;5,0665%;0,00%;;5
124;XPML11;Shoppings;10600.0;16227.0;R$ 0,8841;0,8262%;2,0554%;3,6202%;6,4316%;0,6851%;0,6034%;0,5360%;6,4316%;1,9630%;2,8055%;9,3106%;R$ 510.806.897,80;R$ 102,47;10345.0;0,8628%;-1,6883%;-0,8401%;13,7380%;4,60%;;7
125;XTED11;Lajes Corporativas;777.0;1092.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;1,0962%;1,0962%;-37,8277%;R$ 46.819.165,48;R$ 26,12;2975.0;;;;;100,00%;100,00%;2
