;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
155;TORD11;Outros;R$ 10,66;30618.0;R$ 0,11;1,03%;2,69%;0,00%;0,00%;0,90%;0,00%;0,00%;4,70%;-0,93%;0,09%;10,63%;R$ 41.518.255,87;R$ 9,94;107.0;1,10%;0,45%;1,56%;6,75%;;;0
156;TRNT11;Lajes Corporativas;R$ 181,12;1259.0;R$ 0,45;0,24%;0,75%;1,43%;3,48%;0,25%;0,24%;0,29%;1,99%;4,23%;4,48%;-21,37%;R$ 874.469.707,89;R$ 222,20;82.0;0,20%;0,19%;0,39%;1,91%;39,40%;;1
157;TRXF11;Outros;R$ 101,40;54095.0;R$ 0,34;0,33%;1,62%;3,73%;0,00%;0,54%;0,62%;0,00%;4,89%;-3,18%;-2,85%;-8,13%;R$ 416.559.206,21;R$ 97,11;104.0;0,35%;-0,14%;0,21%;1,94%;0,00%;;32
158;VCJR11;Títulos e Val. Mob.;R$ 102,75;4987.0;R$ 0,61;0,61%;1,56%;2,69%;0,00%;0,52%;0,45%;0,00%;3,26%;-0,94%;-0,33%;-3,77%;R$ 588.541.654,73;R$ 101,28;101.0;0,60%;-0,81%;-0,21%;3,95%;;;0
159;VGIP11;Outros;R$ 99,31;2136.0;R$ 0,75;0,75%;2,12%;0,00%;0,00%;0,71%;0,00%;0,00%;4,06%;0,50%;1,26%;19,31%;R$ 158.705.138,29;R$ 95,65;104.0;0,78%;-0,08%;0,70%;-1,12%;;;0
160;VGIR11;Títulos e Val. Mob.;R$ 85,87;10401.0;R$ 0,41;0,49%;1,60%;3,37%;6,94%;0,53%;0,56%;0,58%;4,48%;1,24%;1,73%;-17,56%;R$ 436.306.210,49;R$ 96,82;89.0;0,42%;-0,06%;0,36%;3,46%;;;0
161;VIFI11;Títulos e Val. Mob.;R$ 96,00;4457.0;R$ 0,65;0,66%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,01%;-0,87%;-0,21%;0,43%;R$ 284.515.164,58;R$ 101,17;95.0;0,64%;1,26%;1,91%;2,50%;;;0
162;VILG11;Logística;R$ 129,59;84445.0;R$ 0,60;0,47%;1,44%;2,88%;6,03%;0,48%;0,48%;0,50%;3,91%;4,12%;4,61%;-4,34%;R$ 1.215.057.365,31;R$ 112,91;115.0;0,53%;0,10%;0,63%;7,50%;0,00%;;10
163;VINO11;Lajes Corporativas;R$ 58,90;45297.0;R$ 0,35;0,60%;1,93%;3,98%;0,00%;0,64%;0,66%;0,00%;5,09%;0,12%;0,72%;-8,03%;R$ 601.739.242,88;R$ 60,52;97.0;0,58%;-0,04%;0,54%;3,51%;4,90%;;7
164;VISC11;Shoppings;R$ 110,11;18878.0;R$ 0,15;0,14%;0,50%;1,31%;4,50%;0,17%;0,22%;0,38%;2,26%;5,67%;5,82%;-18,64%;R$ 1.734.196.650,09;R$ 121,52;91.0;0,12%;0,11%;0,23%;2,04%;7,60%;;14
165;VLOL11;Lajes Corporativas;R$ 104,87;1494.0;R$ 0,49;0,48%;1,35%;2,61%;5,12%;0,45%;0,44%;0,43%;3,42%;-1,96%;-1,49%;-9,68%;R$ 161.833.899,10;R$ 90,67;116.0;0,54%;0,02%;0,56%;4,17%;8,00%;;1
166;VOTS11;Títulos e Val. Mob.;R$ 81,15;2.0;R$ 0,31;0,38%;1,16%;2,46%;5,47%;0,39%;0,41%;0,46%;3,35%;2,50%;2,89%;-11,68%;R$ 80.767.909,04;R$ 97,56;83.0;0,32%;0,08%;0,40%;2,99%;;;0
167;VRTA11;Títulos e Val. Mob.;R$ 103,99;22663.0;R$ 0,51;0,49%;1,91%;3,89%;7,31%;0,64%;0,65%;0,61%;5,13%;-6,26%;-5,80%;-16,28%;R$ 1.025.089.508,69;R$ 102,51;101.0;0,50%;-3,04%;-2,55%;1,93%;;;0
168;VSHO11;Shoppings;R$ 87,70;23.0;R$ 0,00;0,00%;1,18%;2,88%;6,51%;0,39%;0,48%;0,54%;1,18%;-26,13%;-26,13%;-27,82%;R$ 206.131.165,51;R$ 98,21;89.0;;;;;5,67%;;3
169;VTLT11;Logística;R$ 117,63;1775.0;R$ 0,72;0,63%;1,27%;3,32%;7,10%;0,42%;0,55%;0,59%;4,56%;0,92%;1,56%;1,96%;R$ 214.950.719,84;R$ 101,63;116.0;0,71%;-0,10%;0,61%;5,95%;0,00%;0,00%;1
170;VVPR11;Híbrido;R$ 99,90;586.0;R$ 0,49;0,48%;1,65%;3,56%;0,00%;0,55%;0,59%;0,00%;4,21%;-1,07%;-0,59%;-0,68%;R$ 190.261.917,97;R$ 100,54;99.0;;;;;0,00%;;4
