;Ativo;Setor;Preço;Volume (21d);Dividendo;Dividend Yield;Dividend Yield 3M (acumulado);Dividend Yield 6M (acumulado);Dividend Yield 12M (acumulado);Dividend Yield 3M (média);Dividend Yield 6M (média);Dividend Yield 12M (média);Dividend Yield no Ano;Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira;Qtd Ativos
101;ALZR11;Outros;9246.0;1200.0;R$ 0,6419;0,6972%;2,0712%;3,9172%;0,0000%;0,6904%;0,6529%;0,0000%;5,0169%;-1,9071%;-1,2232%;-6,5001%;R$ 97.116.459,7600;R$ 97,4046;9492;0,6590%;0,0129%;0,6720%;7,2925%;0,0000%;;2
102;MGFF11;Títulos e Val. Mob.;8290.0;0.0;R$ 0,4300;0,4915%;1,1843%;0,0000%;0,0000%;0,3948%;0,0000%;0,0000%;1,8495%;-7,2118%;-6,7558%;-10,8800%;R$ 108.511.141,2700;R$ 89,9815;9213;0,4779%;-1,2348%;-0,7629%;-4,4260%;;;0
103;IRDM11;Títulos e Val. Mob.;9595.0;2033.0;R$ 0,9089;0,9468%;2,5838%;0,0000%;0,0000%;0,8613%;0,0000%;0,0000%;3,6590%;-0,8674%;0,0712%;0,5298%;R$ 102.921.384,2400;R$ 95,2976;10068;0,9538%;-0,2805%;0,6706%;3,7004%;;;0
104;HFOF11;Títulos e Val. Mob.;8700.0;5079.0;R$ 0,5400;0,6067%;2,1722%;0,0000%;0,0000%;0,7241%;0,0000%;0,0000%;3,6132%;-4,8128%;-4,2353%;-7,7381%;R$ 194.088.700,2200;R$ 87,8839;9899;0,6144%;-0,7496%;-0,1397%;-9,0876%;;;0
105;WPLZ11;Shoppings;5985.0;168.0;R$ 0,4700;0,7833%;2,3535%;2,8034%;3,4444%;0,7845%;0,4672%;0,2870%;2,8034%;0,0000%;0,7833%;-12,0231%;R$ 81.938.253,0200;R$ 82,8212;7226;;;;;11,5000%;;1
106;XPLG11;Logística;8890.0;4048.0;R$ 0,5000;0,5682%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;1,0347%;-9,2784%;-8,7629%;-11,0868%;R$ 350.600.620,3500;R$ 95,7624;9283;0,5221%;0,5302%;1,0551%;1,9379%;;;0
107;OUCY11;Títulos e Val. Mob.;9550.0;112.0;R$ 0,4373;0,4579%;1,4844%;0,0000%;0,0000%;0,4948%;0,0000%;0,0000%;1,8022%;3,8043%;4,2797%;-2,7674%;R$ 51.270.886,5100;R$ 96,0280;9945;0,4554%;-0,1900%;0,2645%;2,2429%;;;0
108;RBRR11;Títulos e Val. Mob.;9769.0;1772.0;R$ 0,7100;0,7172%;1,8667%;0,0000%;0,0000%;0,6222%;0,0000%;0,0000%;2,2493%;2,8144%;3,5518%;1,2452%;R$ 142.152.688,4200;R$ 96,0211;10174;0,7394%;-0,0443%;0,6948%;2,1438%;;;0
109;RDPD11;Títulos e Val. Mob.;8999.0;85.0;R$ 0,3800;0,4444%;1,5047%;0,0000%;0,0000%;0,5016%;0,0000%;0,0000%;1,5047%;-11,1123%;-10,7173%;-13,1971%;R$ 104.768.936,5000;R$ 97,1845;9260;0,3910%;0,3476%;0,7400%;1,4510%;;;0
110;HGRU11;Híbrido;10117.0;2393.0;R$ 0,6800;0,6621%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;1,2976%;-4,0187%;-3,3832%;4,0370%;R$ 147.002.797,4700;R$ 98,0019;10323;0,6939%;0,3965%;1,0931%;1,7973%;;;1
